C2,C3,C4,C5,C6,C7,C8,Car,Car Name,Game,Gran Turismo 5,Gran Turismo 6,Gran Turismo 7,Main Series,NTSC-J,NTSC-J (menus),NTSC-J (race),NTSC-U,NTSC-U (menus),NTSC-U (race),NTSC-U and PAL (menus),NTSC-U and PAL (race),Other,Other games,PAL,Prologues/Concepts,Region,URL
,,,,,,,,Mitsubishi HSR-II Concept '89,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_HSR-II_Concept_%2789
,,,,,,,,Nissan March 12c 5door '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_MICRA_%2703
,,,,,,,,Honda INSIGHT '99,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_INSIGHT_%2799
,,,,,,,,Nissan SKYLINE GT-R (R33) '95,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SKYLINE_GT-R_(R33)_%2795
,,,,,,,,Nissan SKYLINE GT-R Special Color Midnight Purple III (R34) '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_SKYLINE_GT-R_Special_Color_Midnight_Purple_III_(R34)_%2700
,,,,,,,,Alpine,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Alpine
,,,,,,,,Chevrolet,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Chevrolet
,,,,,,,Picture,Jay Leno,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Jay_Leno
,,,,,,,,Toyota VITZ RS 1.5 '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Toyota_Yaris_RS_1.5_(J)_%2700
,,,,,,,,Honda S500 '63,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_S500_%2763
,,,,,,,,Chevrolet Corvette C5-R (C5) '00,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Chevrolet_Corvette_C5-R_(C5)_%2700
,,,,,,,,Nissan Fairlady Z 300ZX TwinTurbo 2seater (Z32) '89,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_300ZX_2seater_(Z32)_%2789
,,,,,,,,Mitsubishi FTO Super Touring Car,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mitsubishi_FTO_Super_Touring_Car
,,,,,,,,Isuzu 117 COUPE '68,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Isuzu_117_COUPE_%2768
,,,,,,,,Ferrari,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Ferrari
,,,,,,,,Renault Sport,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Renault_Sport
,,,,,,,,Audi R8 LMS ultra (Audi Sport Team Phoenix) '12,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Audi_R8_LMS_ultra_(Audi_Sport_Team_Phoenix)_%2712
,,,,,,,,Enzo Ferrari '02,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Enzo_Ferrari_%2702
,,,,,,,,Honda CR-X SiR '90,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Honda_CR-X_SiR_%2790
,,,,,,,,Nissan GT-R NISMO '14,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Nissan_GT-R_NISMO_%2714
,,,,,,,,Scion xB '03,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Scion_xB_%2703
,,,,,,,Picture,Dome,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Dome
,,,,,,,Picture,Mine's,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/Mine%27s
,,,,,,,,MINI COOPER S '11,,,,,,,,,,,,,,,,,,,https://gran-turismo.fandom.com/wiki/MINI_COOPER_S_%2711
